cancion_id,instrumento,tamano_segmento,grado_polinomio,f_nota,f_volumen,f_dura
0,1,2048,2,803.647827,966.747437,105.407578
0,1,2048,3,589.158386,790.168274,75.011620
0,1,2048,4,542.518494,723.615479,49.188148
0,1,2048,5,416.825226,541.789001,25.864197
0,1,2048,6,391.176636,505.485870,33.872448
0,1,2048,7,-nan,-nan,-nan
0,33,8,2,6.097789,19.183783,0.061958
0,33,8,3,3.069731,9.753777,0.033297
0,33,8,4,1.835357,5.858114,0.054631
0,33,8,5,4.077357,18.751387,0.929371
0,33,8,6,223.267014,1052.837891,53.297131
0,33,8,7,2330.723389,10990.883789,556.403687
0,33,16,2,30.363390,97.315132,0.165027
0,33,16,3,10.225492,32.405273,0.075620
0,33,16,4,8.328939,26.411390,0.067085
0,33,16,5,7.435888,30.602442,1.332732
0,33,16,6,69.625214,328.038696,16.594501
0,33,16,7,1132.769775,5340.782715,270.229095
0,33,32,2,48.678658,157.352341,0.679519
0,33,32,3,38.979824,127.293030,0.282947
0,33,32,4,29.740795,98.030922,0.244619
0,33,32,5,18.875139,64.817169,1.539618
0,33,32,6,80.418877,374.885620,18.759361
0,33,32,7,26201.791016,120674.242188,5870.291992
0,33,64,2,59.135246,180.994629,1.213430
0,33,64,3,53.735352,165.620865,0.626916
0,33,64,4,48.534851,156.377380,0.377976
0,33,64,5,46.818375,152.762146,1.907049
0,33,64,6,117.133804,535.007507,26.255196
0,33,64,7,35308.257812,165235.109375,8155.596191
0,33,128,2,77.196030,240.033142,4.620914
0,33,128,3,62.148228,196.599533,1.777095
0,33,128,4,57.406017,176.440292,1.268600
0,33,128,5,56.117771,173.409241,1.353485
0,33,128,6,74.384872,290.190002,12.074504
0,33,128,7,408.581055,1913.154297,96.047440
0,33,256,2,106.499535,352.486237,8.215206
0,33,256,3,83.627449,297.717316,5.071318
0,33,256,4,71.041679,240.650726,2.945970
0,33,256,5,67.340752,233.517120,3.162752
0,33,256,6,116.297668,503.528595,23.374208
0,33,256,7,789.411194,3703.659424,186.682404
0,33,512,2,213.830063,683.153992,31.281107
0,33,512,3,156.023315,443.519684,11.334998
0,33,512,4,114.369759,348.494934,7.405800
0,33,512,5,103.502892,314.449829,6.519282
0,33,512,6,195.445389,847.024658,40.944721
0,33,512,7,111.544640,425.981781,16.788465
0,33,1024,2,382.841309,1167.196655,76.319908
0,33,1024,3,248.566299,763.553101,34.264816
0,33,1024,4,194.685532,593.089111,15.179503
0,33,1024,5,184.346359,524.123108,15.126802
0,33,1024,6,152.209091,487.331970,14.402060
0,33,1024,7,157.406769,555.391724,19.999096
0,33,2048,2,572.291016,1774.735107,101.558128
0,33,2048,3,371.390045,1146.201416,74.461838
0,33,2048,4,327.909668,1017.124451,47.415512
0,33,2048,5,246.093491,769.641418,24.994341
0,33,2048,6,241.202408,842.793457,32.199387
0,33,2048,7,-nan,-nan,-nan
0,56,8,2,10.483125,17.138330,1.427286
0,56,8,3,4.370767,7.150254,0.570909
0,56,8,4,3.111398,5.112777,4.981713
0,56,8,5,24.685472,41.149651,90.490211
0,56,8,6,1411.252441,2352.827881,5189.878418
0,56,8,7,14732.956055,24562.529297,54180.398438
0,56,16,2,24.159639,39.138851,4.183557
0,56,16,3,14.530885,23.682961,1.695085
0,56,16,4,11.096179,18.172594,3.458590
0,56,16,5,35.965698,59.909977,129.729813
0,56,16,6,439.405304,732.570801,1615.860718
0,56,16,7,7155.147949,11928.917969,26314.261719
0,56,32,2,41.020844,66.454147,9.703723
0,56,32,3,28.761446,46.765381,4.528050
0,56,32,4,20.666452,33.631752,4.055989
0,56,32,5,44.164341,73.372154,149.310547
0,56,32,6,496.981110,828.545837,1826.761597
0,56,32,7,154772.796875,258053.031250,571832.375000
0,56,64,2,76.681709,124.533173,40.624485
0,56,64,3,47.815838,76.921799,13.615960
0,56,64,4,38.231812,61.287331,10.211383
0,56,64,5,58.624287,96.930511,183.284546
0,56,64,6,695.733459,1159.908691,2557.314941
0,56,64,7,215775.234375,359742.406250,794712.500000
0,56,128,2,179.870071,291.721344,112.854301
0,56,128,3,91.613281,149.496384,46.335011
0,56,128,4,74.337059,121.291351,27.494169
0,56,128,5,65.764069,106.791527,106.429245
0,56,128,6,323.779510,539.160095,1175.523560
0,56,128,7,2548.378418,4248.288086,9366.865234
0,56,256,2,259.212189,423.145447,299.585052
0,56,256,3,183.578720,299.455719,128.069565
0,56,256,4,149.548141,240.662369,69.573257
0,56,256,5,126.485023,206.935410,196.573822
0,56,256,6,626.910522,1044.356323,2274.158691
0,56,256,7,4955.201172,8261.224609,18206.408203
0,56,512,2,758.099792,1243.838989,996.551270
0,56,512,3,341.200256,560.306946,374.567749
0,56,512,4,243.012070,396.954376,217.718948
0,56,512,5,215.926422,353.996307,262.867615
0,56,512,6,1097.495972,1828.930542,3971.793213
0,56,512,7,461.077850,766.801331,1580.810181
0,56,1024,2,1177.165283,1908.860107,2034.051636
0,56,1024,3,763.954773,1264.075684,1028.482178
0,56,1024,4,498.828522,811.826416,498.714355
0,56,1024,5,350.201569,569.461914,392.899994
0,56,1024,6,394.542023,648.415344,959.938538
0,56,1024,7,526.078125,871.093445,1641.396118
0,56,2048,2,3985.124756,6620.310059,6503.587402
0,56,2048,3,1773.301270,2915.570801,2602.389648
0,56,2048,4,1228.220581,2059.296143,1644.469238
0,56,2048,5,846.684875,1387.335205,1226.893066
0,56,2048,6,975.057068,1610.549316,2768.833740
0,56,2048,7,-nan,-nan,-nan
0,57,8,2,11.844124,25.841810,1.170847
0,57,8,3,4.285267,9.373713,0.510795
0,57,8,4,3.098007,6.740645,3.465552
0,57,8,5,9.082868,19.069155,62.947845
0,57,8,6,506.482635,1060.745972,3610.172607
0,57,8,7,5287.369629,11073.576172,37688.898438
0,57,16,2,28.694746,62.979553,4.264163
0,57,16,3,16.451605,35.980152,1.549917
0,57,16,4,11.518363,25.202549,2.516353
0,57,16,5,14.474658,30.577532,90.246735
0,57,16,6,157.755066,330.408936,1124.012085
0,57,16,7,2567.657227,5377.368164,18304.746094
0,57,32,2,42.544960,92.579514,9.703219
0,57,32,3,34.058552,75.088753,4.565613
0,57,32,4,24.969149,54.939037,3.181834
0,57,32,5,25.061289,54.231030,103.873306
0,57,32,6,178.895966,374.829407,1270.775513
0,57,32,7,55544.992188,116254.531250,397759.781250
0,57,64,2,74.432220,161.363815,25.485798
0,57,64,3,50.129082,108.083321,10.995973
0,57,64,4,41.267776,90.164330,7.016006
0,57,64,5,41.498386,90.385155,127.520088
0,57,64,6,251.631927,527.333435,1778.962280
0,57,64,7,77240.851562,161793.796875,552814.187500
0,57,128,2,166.890076,364.106293,111.840378
0,57,128,3,87.857254,191.201675,36.723808
0,57,128,4,67.634430,146.783676,26.473421
0,57,128,5,58.832207,126.851059,74.949409
0,57,128,6,125.407135,264.197601,817.734314
0,57,128,7,914.161255,1914.696533,6515.101562
0,57,256,2,262.662994,559.754028,258.663849
0,57,256,3,185.298828,405.034302,120.297836
0,57,256,4,148.343796,321.096802,56.752739
0,57,256,5,112.647125,245.277191,139.195770
0,57,256,6,241.632401,508.964844,1582.241089
0,57,256,7,1779.511841,3727.739990,12666.485352
0,57,512,2,439.001312,950.984985,868.353210
0,57,512,3,285.857727,616.747681,326.480469
0,57,512,4,234.509933,503.964600,179.840210
0,57,512,5,192.526535,420.049133,208.632843
0,57,512,6,422.277069,891.426819,2762.996826
0,57,512,7,221.923340,475.062592,1098.741211
0,57,1024,2,736.090027,1576.267944,1596.989868
0,57,1024,3,516.311951,1120.095703,843.458496
0,57,1024,4,364.953003,796.013428,433.019196
0,57,1024,5,339.372803,738.366455,301.666260
0,57,1024,6,293.395538,635.431580,675.155762
0,57,1024,7,313.790833,675.828796,1145.268066
0,57,2048,2,2008.238281,4409.462891,6027.083008
0,57,2048,3,993.565125,2116.806396,2159.378174
0,57,2048,4,769.808716,1653.861572,1381.293091
0,57,2048,5,587.923340,1278.174561,1062.402222
0,57,2048,6,554.453308,1187.781128,1954.717041
0,57,2048,7,-nan,-nan,-nan
0,108,8,2,10.595535,18.140476,0.694930
0,108,8,3,6.095969,10.436923,0.703827
0,108,8,4,3.397401,5.817292,16.016277
0,108,8,5,10.101621,17.327454,291.688995
0,108,8,6,564.832214,968.941772,16729.595703
0,108,8,7,5896.500977,10115.210938,174650.468750
0,108,16,2,13.464428,23.052565,0.801124
0,108,16,3,10.321722,17.671709,0.697780
0,108,16,4,7.184100,12.299870,10.748669
0,108,16,5,14.894263,25.546356,418.183136
0,108,16,6,175.972870,301.867096,5208.616211
0,108,16,7,2866.139648,4916.739746,84823.851562
0,108,32,2,15.021139,25.718054,0.857565
0,108,32,3,13.200731,22.601032,0.870161
0,108,32,4,11.024811,18.875553,10.657393
0,108,32,5,18.479013,31.686426,481.281372
0,108,32,6,199.328201,341.948761,5888.886719
0,108,32,7,60919.777344,104508.679688,1843322.875000
0,108,64,2,34.520115,59.090122,4.099720
0,108,64,3,34.407928,58.897770,1.626693
0,108,64,4,28.133747,48.160477,13.002577
0,108,64,5,33.917542,58.103275,590.496887
0,108,64,6,279.067566,478.734833,8243.548828
0,108,64,7,87044.187500,149319.453125,2561740.500000
0,108,128,2,41.713184,71.434982,93.687424
0,108,128,3,40.593895,69.515259,23.805222
0,108,128,4,36.920353,63.213360,28.825537
0,108,128,5,38.374847,65.704971,338.608978
0,108,128,6,132.756088,227.717026,3790.157959
