cancion_id,instrumento,tamano_segmento,grado_polinomio,f_nota,f_volumen,f_dura
0,56,8,6,1411.307251,2352.827881,5189.625977
0,56,8,7,14733.216797,24562.529297,54177.714844
0,56,16,2,24.159636,39.138851,4.183547
0,56,16,3,14.530892,23.682961,1.694971
0,56,16,4,11.096210,18.172594,3.455030
0,56,16,5,35.963833,59.909977,129.723541
0,56,16,6,439.413055,732.570801,1615.753174
0,56,16,7,7155.286621,11928.917969,26312.980469
0,56,32,2,41.020844,66.454147,9.703683
0,56,32,3,28.761446,46.765381,4.527955
0,56,32,4,20.666418,33.631752,4.057448
0,56,32,5,44.165028,73.372154,149.301895
0,56,32,6,496.991699,828.545837,1826.717285
0,56,32,7,154776.906250,258053.031250,571797.625000
0,56,64,2,76.681686,124.533173,40.624413
0,56,64,3,47.815830,76.921799,13.615872
0,56,64,4,38.231701,61.287331,10.216830
0,56,64,5,58.622002,96.930511,183.275208
0,56,64,6,695.766052,1159.908691,2557.220215
0,56,64,7,215781.500000,359742.406250,794671.687500
0,56,128,2,179.870087,291.721344,112.854706
0,56,128,3,91.613281,149.496384,46.335064
0,56,128,4,74.337128,121.291351,27.492718
0,56,128,5,65.770111,106.791527,106.473541
0,56,128,6,323.760071,539.160095,1175.544434
0,56,128,7,2548.413086,4248.288086,9365.855469
0,56,256,2,259.212158,423.145447,299.586914
0,56,256,3,183.578751,299.455719,128.069885
0,56,256,4,149.548065,240.662369,69.571274
0,56,256,5,126.477631,206.935410,196.438492
0,56,256,6,626.895325,1044.356323,2274.123535
0,56,256,7,4955.366211,8261.224609,18206.832031
0,56,512,2,758.099609,1243.838989,996.550964
0,56,512,3,341.200317,560.306946,374.569366
0,56,512,4,243.012207,396.954376,217.720108
0,56,512,5,215.948227,353.996307,262.838531
0,56,512,6,1097.674927,1828.930542,3970.510986
0,56,512,7,461.524780,766.801331,1579.718506
0,56,1024,2,1177.165161,1908.860107,2034.051392
0,56,1024,3,763.954651,1264.075684,1028.483643
0,56,1024,4,498.828522,811.826416,498.717072
0,56,1024,5,350.200226,569.461914,392.898712
0,56,1024,6,394.614410,648.415344,959.664062
0,56,1024,7,525.841736,871.093445,1643.947632
0,56,2048,2,3985.125244,6620.310059,6503.601562
0,56,2048,3,1773.301147,2915.570801,2602.394287
0,56,2048,4,1228.220215,2059.296143,1644.472900
0,56,2048,5,846.682678,1387.335205,1226.973511
0,56,2048,6,976.142578,1610.549316,2758.508057
0,56,2048,7,-nan,-nan,-nan
0,57,8,2,11.844127,25.841810,1.170872
0,57,8,3,4.285268,9.373713,0.510849
0,57,8,4,3.098063,6.740645,3.467694
0,57,8,5,9.082982,19.069155,62.945042
0,57,8,6,506.488708,1060.745972,3610.083740
0,57,8,7,5287.430664,11073.576172,37687.835938
0,57,16,2,28.694742,62.979553,4.264167
0,57,16,3,16.451599,35.980152,1.549917
0,57,16,4,11.518376,25.202549,2.515255
0,57,16,5,14.475454,30.577532,90.238205
0,57,16,6,157.754150,330.408936,1124.012451
0,57,16,7,2567.684570,5377.368164,18304.158203
0,57,32,2,42.544960,92.579514,9.703260
0,57,32,3,34.058552,75.088753,4.565687
0,57,32,4,24.969158,54.939037,3.183559
0,57,32,5,25.061501,54.231030,103.869553
0,57,32,6,178.898239,374.829407,1270.761353
0,57,32,7,55545.589844,116254.531250,397745.687500
0,57,64,2,74.432213,161.363815,25.485821
0,57,64,3,50.129070,108.083321,10.996018
0,57,64,4,41.267765,90.164330,7.010446
0,57,64,5,41.498425,90.385155,127.509048
0,57,64,6,251.638931,527.333435,1778.903931
0,57,64,7,77241.601562,161793.796875,552792.500000
0,57,128,2,166.890060,364.106293,111.841095
0,57,128,3,87.857224,191.201675,36.724113
0,57,128,4,67.634415,146.783676,26.473635
0,57,128,5,58.832584,126.851059,74.995651
0,57,128,6,125.411491,264.197601,817.936890
0,57,128,7,914.187866,1914.696533,6514.958984
0,57,256,2,262.662994,559.754028,258.665283
0,57,256,3,185.298813,405.034302,120.298744
0,57,256,4,148.343765,321.096802,56.751369
0,57,256,5,112.647331,245.277191,139.237656
0,57,256,6,241.609573,508.964844,1582.224243
0,57,256,7,1779.501831,3727.739990,12666.025391
0,57,512,2,439.001251,950.984985,868.359131
0,57,512,3,285.857758,616.747681,326.483307
0,57,512,4,234.509933,503.964600,179.844421
0,57,512,5,192.525436,420.049133,208.604919
0,57,512,6,422.415070,891.426819,2763.203125
0,57,512,7,221.912369,475.062592,1099.251343
0,57,1024,2,736.089905,1576.267944,1596.990112
0,57,1024,3,516.311890,1120.095703,843.461609
0,57,1024,4,364.952850,796.013428,433.024048
0,57,1024,5,339.372742,738.366455,301.671265
0,57,1024,6,293.368835,635.431580,675.258911
0,57,1024,7,313.835358,675.828796,1144.866089
0,57,2048,2,2008.238647,4409.462891,6027.088867
0,57,2048,3,993.564697,2116.806396,2159.383057
0,57,2048,4,769.808594,1653.861572,1381.299194
0,57,2048,5,587.923157,1278.174561,1062.445923
0,57,2048,6,554.529175,1187.781128,1954.242798
0,57,2048,7,-nan,-nan,-nan
0,108,8,2,10.595544,18.140476,0.694461
0,108,8,3,6.095972,10.436923,0.709617
0,108,8,4,3.397580,5.817292,16.019928
0,108,8,5,10.102332,17.327454,291.720367
0,108,8,6,564.864197,968.941772,16731.324219
0,108,8,7,5896.841797,10115.210938,174668.437500
0,108,16,2,13.464436,23.052565,0.800732
0,108,16,3,10.321728,17.671709,0.697133
0,108,16,4,7.184083,12.299870,10.758197
0,108,16,5,14.895082,25.546356,418.233398
0,108,16,6,175.985031,301.867096,5209.218750
0,108,16,7,2866.316650,4916.739746,84832.679688
0,108,32,2,15.021152,25.718054,0.856802
0,108,32,3,13.200738,22.601032,0.871664
0,108,32,4,11.024806,18.875553,10.648339
0,108,32,5,18.480103,31.686426,481.327209
0,108,32,6,199.341339,341.948761,5889.460938
0,108,32,7,60924.289062,104508.679688,1843517.500000
0,108,64,2,34.520134,59.090122,4.099401
0,108,64,3,34.407944,58.897770,1.632807
0,108,64,4,28.133755,48.160477,13.037457
0,108,64,5,33.918949,58.103275,590.493408
0,108,64,6,279.083313,478.734833,8244.580078
0,108,64,7,87048.226562,149319.453125,2562000.750000
0,108,128,2,41.713192,71.434982,93.645920
0,108,128,3,40.593906,69.515259,23.795296
0,108,128,4,36.920418,63.213360,28.758375
0,108,128,5,38.373024,65.704971,338.337280
0,108,128,6,132.766113,227.717026,3789.890381
0,108,128,7,1020.126709,1749.910156,30197.917969
0,108,256,2,47.428505,81.278900,178.438858
0,108,256,3,42.852089,73.372002,94.722534
0,108,256,4,41.512337,71.092995,41.236332
0,108,256,5,45.819168,78.501366,609.541016
0,108,256,6,250.453247,429.653351,7331.050293
0,108,256,7,1981.311279,3398.541504,58699.085938
0,108,512,2,61.282494,105.031937,684.329041
0,108,512,3,49.884331,85.461510,241.655594
0,108,512,4,45.513287,77.966431,147.584808
0,108,512,5,49.198727,84.279350,655.227295
0,108,512,6,433.258667,743.330322,12795.150391
0,108,512,7,176.940460,303.309692,5084.841797
0,108,1024,2,99.924767,170.897629,1721.929932
0,108,1024,3,62.080963,106.133873,755.046082
0,108,1024,4,54.074970,92.158768,325.924896
0,108,1024,5,51.478329,87.984001,401.781860
0,108,1024,6,110.586029,189.622055,2961.201416
0,108,1024,7,182.767548,313.544159,5237.429688
0,108,2048,2,248.026306,425.563995,5329.420410
0,108,2048,3,114.323769,195.242371,2097.583496
0,108,2048,4,68.803360,117.805229,1042.964111
0,108,2048,5,66.038086,112.896942,1041.136108
0,108,2048,6,296.645325,508.536194,8689.516602
0,108,2048,7,-nan,-nan,-nan
1,-1,8,2,31.326696,40.260445,0.034076
1,-1,8,3,18.017452,22.929884,0.017370
1,-1,8,4,8.677314,11.131567,0.019465
1,-1,8,5,8.636458,8.354887,0.294215
1,-1,8,6,364.247528,209.737183,16.870209
1,-1,8,7,3802.261719,2188.579590,176.118622
1,-1,16,2,38.295174,50.390923,0.082003
1,-1,16,3,36.076359,46.494041,0.039030
1,-1,16,4,33.731304,43.043259,0.028972
1,-1,16,5,27.964258,33.985718,0.422089
1,-1,16,6,114.626328,68.684608,5.252729
1,-1,16,7,1846.775513,1063.355957,85.538216
1,-1,32,2,44.272423,59.364471,0.178397
1,-1,32,3,40.782902,54.206108,0.097196
1,-1,32,4,38.640388,50.995415,0.062536
1,-1,32,5,38.485130,48.794151,0.487203
1,-1,32,6,133.121277,87.154350,5.936502
1,-1,32,7,40727.015625,24790.613281,1858.542480
1,-1,64,2,52.060364,70.783073,0.484211
1,-1,64,3,46.617516,62.551212,0.227313
1,-1,64,4,44.188320,59.220184,0.171424
1,-1,64,5,44.077614,56.696690,0.606379
1,-1,64,6,184.006577,116.703087,8.310816
