cancion,artista,tipo,lanzamiento,fecha-lanzamiento,id
Perdóname,Alex Bueno,Album,Bachata a su tiempo,1998,d0998d64-7db4-4acc-a102-6c0b178de6ac
De madrugada,Alex Bueno,Album,Bachata a su tiempo,1998,f0fbeb30-283a-4582-829b-8434c50ade22
Si vinieras hoy,Alex Bueno,Album,Bachata a su tiempo,1998,3b01e4e0-27b7-4f69-9e27-00f14e7ff312
Paso a paso,Alex Bueno,Album,Bachata a su tiempo,1998,970e870f-8054-49ac-af5a-6dcd26af8ffa
Gotas de pena,Alex Bueno,Album,Bachata a su tiempo,1998,5cb90f79-80bc-4de4-8e3b-6a6d07d1db68
Un poco de ti,Alex Bueno,Album,Bachata a su tiempo,1998,90e6e670-b055-4f27-87bb-13f1d773af69
Me duele,Alex Bueno,Album,Bachata a su tiempo,1998,17230858-e1aa-4a35-95d3-e5a6e34128fc
Lo que yo siento por ti,Alex Bueno,Album,Bachata a su tiempo,1998,07e276a1-090e-4841-bbe7-03e5b872a04d
Cambia de vida,Joe Veras,Album,Acéptame como soy,1998,4b1be6d6-e501-4a41-b190-5b38fe112586
Me esta faltando tu amor,Joe Veras,Album,Acéptame como soy,1998,67663e22-c8f0-45bf-b829-dfa126fa6a48
Mi tierra,Joe Veras,Album,Acéptame como soy,1998,201fe760-b2cc-4592-b3e0-651086d8371e
Porque será,Joe Veras,Album,Acéptame como soy,1998,fd5e412d-c61c-4173-981a-c2f0a4d0f84c
Siempre dicen,Joe Veras,Album,Acéptame como soy,1998,4d0375f8-b47e-4aee-a0b3-1ff5968cb79b
Acéptame como soy,Joe Veras,Album,Acéptame como soy,1998,f82a445b-7157-4d72-9ecf-4415f710dfe3
El manique,Joe Veras,Album,Acéptame como soy,1998,181a706d-8952-4769-a54d-db1d8d61f946
Quiéreme,Joe Veras,Album,Acéptame como soy,1998,7cc024bc-c868-4a86-b034-f02965a9b457
Mi merengue,Joe Veras,Album,Acéptame como soy,1998,80de91a0-a52a-4ec7-9f7b-ef264bcca723
Dime que sí,Joe Veras,Album,Acéptame como soy,1998,75a5006e-6deb-4f95-a72d-03cdb02ae620
Desde que me dejaste,Joe Veras,Album,Reencuentro,1998,161bc81f-c993-49d9-b095-b17b18fa5a3d
Por tus celos,Joe Veras,Album,Reencuentro,1998,6e326061-59f9-487c-9f0e-3f9896f7b291
Fallaste,Joe Veras,Album,Reencuentro,1998,aec01123-7dd6-49b5-a18f-b3ebe12a66cf
El colibrí,Joe Veras,Album,Reencuentro,1998,c6a70ac5-a545-43b1-8c19-620a67ff8d94
No tengo la culpa,Joe Veras,Album,Reencuentro,1998,ac5b2fe5-5655-4098-ad7e-4d899eeb19f2
Elena,Joe Veras,Album,Reencuentro,1998,23fc6544-d76d-4863-930a-16ec76407ebb
Tu belleza... habla mi corazón,Joe Veras,Album,Reencuentro,1998,654c01b7-67b0-4d5f-97b3-09a6daa27271
Dime corazón,Joe Veras,Album,Reencuentro,1998,338f31c1-c41e-4c31-831e-ead2781b3496
La gota gorda,Joe Veras,Album,Reencuentro,1998,b60b1881-1c4f-4687-9783-a984ddc04bc9
Te puedo querer,Joe Veras,Album,Reencuentro,1998,cd28e232-3894-4dfd-9296-761cd2331dc0
Amor a primera vista,Maximo Mercedes,Album,La fiera indomable,1999,88d44d97-982d-40d9-9416-dc6d4a8666f5
Fiera indomable,Maximo Mercedes,Album,La fiera indomable,1999,ac3ea249-8ca2-4972-bec9-5a80ca64af35
La historia,Maximo Mercedes,Album,La fiera indomable,1999,28fe069e-2031-45ed-90a6-c1d959a4f54d
Nacerá el amor,Maximo Mercedes,Album,La fiera indomable,1999,e86bbe66-629a-40da-9819-b9e393cd2693
Peregrina adorada,Maximo Mercedes,Album,La fiera indomable,1999,bfcd52ab-c5f0-4c80-897d-5bc52ca7a5ba
Tú la pagarás,Maximo Mercedes,Album,La fiera indomable,1999,73ed5625-ae8c-49fd-ab22-7466b5341d94
Solo por ella,Maximo Mercedes,Album,La fiera indomable,1999,bc8f445c-6eba-4c2a-8753-2db6283d4c20
Me la voy a llevar,Maximo Mercedes,Album,La fiera indomable,1999,7acc58fc-376f-48c3-8749-39a2e34bb4b2
Llévame contigo,Maximo Mercedes,Album,La fiera indomable,1999,c6198eca-7fe6-4977-a675-0dad4bc77e66
Cuanto te extraño,Maximo Mercedes,Album,La fiera indomable,1999,a2fd9bbd-bf96-4a07-bb41-beda13453ade
Directo al corazón,Elvis Martínez,Album,Directo al corazón,2000,dd1fbb93-a9d3-4bd4-a2bb-82f5a8e00670
Tú sabes bien,Elvis Martínez,Album,Directo al corazón,2000,f31a8231-f9e2-46b7-8dd8-0aa213246eb3
Fabula de amor,Elvis Martínez,Album,Directo al corazón,2000,afd63138-c3b1-4b72-aee7-cb1b87569c6b
Voy a amarte,Elvis Martínez,Album,Directo al corazón,2000,b226c417-8412-4075-9a30-c0700b832635
No se vale,Elvis Martínez,Album,Directo al corazón,2000,ad739fda-b238-4d37-81e7-e45eb5b910c5
Amada mía,Elvis Martínez,Album,Directo al corazón,2000,a7cbd9eb-e89b-4bdd-acc7-8d1902878ebe
Bailando con él,Elvis Martínez,Album,Directo al corazón,2000,c7f93c60-ec67-440b-b79f-29c99d88bf42
Lo doy todo por ti,Elvis Martínez,Album,Directo al corazón,2000,22c152b9-96c5-45e1-a2ed-3956831e8eec
Tu secreto,Elvis Martínez,Album,Directo al corazón,2000,65f524a2-ea6b-4e8e-8a64-2cbf78b47a67
Esta Navidad,Elvis Martínez,Album,Directo al corazón,2000,c429bbcc-552e-475b-88f5-ce7a1c8f0b19
Tú pa ya,Elvis Martínez,Album,Directo al corazón,2000,18a5744f-b072-4c94-8387-8c1c1b7dc444
Tú vas a volar,Junior & Jorge,Album,Tú vas a volar,2000,bd810d4b-2f4b-4896-a060-1bd8a6bd6818
Olvídala,Junior & Jorge,Album,Tú vas a volar,2000,71f7b180-ee3a-425d-b952-d66351517b4f
Si te pudiera mentir,Junior & Jorge,Album,Tú vas a volar,2000,cb92d633-dd6e-4b48-a6b7-c557996c7790
El buen perdedor,Junior & Jorge,Album,Tú vas a volar,2000,130e6624-e391-43d2-9fd3-0e256090f46a
La fotografía,Junior & Jorge,Album,Tú vas a volar,2000,2a72e681-0e60-4e35-b339-1c2632802f60
Temporal de amor,Junior & Jorge,Album,Tú vas a volar,2000,4b5882ec-1a40-46a0-a8bd-b0f5810fd5cb
Me duele,Junior & Jorge,Album,Tú vas a volar,2000,5b2aa855-3e30-4e73-995a-e8f2dd202df8
Cómo te olvido,Junior & Jorge,Album,Tú vas a volar,2000,fae09f0b-b9b7-4b9f-bf8e-41ab1926ab51
Hasta ayer,Junior & Jorge,Album,Tú vas a volar,2000,8436d3a1-a4b9-46c1-9112-bad8b52750b4
Amigo mío,Junior & Jorge,Album,Tú vas a volar,2000,115f4dab-4322-4e26-8edc-85ade35f3e79
El perdedor,Junior & Jorge,Album,Tú vas a volar,2000,4df272d7-92d3-4398-8a79-3beb47c05dc9
Si algún día la ves,Junior & Jorge,Album,Tú vas a volar,2000,64c2f147-cb5b-4e06-aaff-34946fbdf8c2
La noche,Yoskar Sarante,Album,Llora alma mía,2000,8f9e2d7b-11e2-4279-a8ed-537484826aac
No te detengas,Yoskar Sarante,Album,Llora alma mía,2000,bd38a9bd-fe0b-44f3-8bc4-60fb01ce4612
Llora alma mía,Yoskar Sarante,Album,Llora alma mía,2000,fa0a4836-7a95-4e1b-9a86-92f7fca6e0f1
Si te llego a perder,Yoskar Sarante,Album,Llora alma mía,2000,9a18371a-fa4d-4fec-a953-bb16612892db
Ay amor,Yoskar Sarante,Album,Llora alma mía,2000,f02aa340-c616-4654-bc05-cbc1dc42caaf
Cama separada,Yoskar Sarante,Album,Llora alma mía,2000,b605c6e2-9f68-4c00-910f-94a993a0dd4a
Tiene otro amor,Yoskar Sarante,Album,Llora alma mía,2000,706e2390-86da-431e-bbf6-d945b1d581ed
Que tiene esa hembra,Yoskar Sarante,Album,Llora alma mía,2000,59bd7f70-e688-4908-81d4-b30f2e88a6be
No te arrepientas,Yoskar Sarante,Album,Llora alma mía,2000,0c755d7c-e620-4e72-9d09-32224dfb7a14
Vas a llorar,Yoskar Sarante,Album,Llora alma mía,2000,517b2137-f5a3-4443-af67-d4169a74fa4a
Te perdí,Yoskar Sarante,Album,Llora alma mía,2000,92106dee-33a4-4819-93c5-811a52ded648
Jamás te olvidaré,Yoskar Sarante,Album,Llora alma mía,2000,fdde3f47-9f28-4413-a6e6-e9d592e85e3b
Aún eres una niña,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,559f6b25-e829-4b2a-bdbe-f21f948bcdd9
No podemos olvidarlo,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,3a4d5856-6d9b-4e2f-86aa-abf76442e105
De traición en traición,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,b112dc0b-ed9a-4581-99d6-8c3065d07f4d
Rosa linda,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,2b85167b-a2c9-4f2a-8794-38cbbfef27b6
Cuando pienso en ti,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,7bb81fd3-3200-42c8-aec4-4ec4f94ae82a
Ya me libré de ti,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,c18dada7-6960-4602-b3b1-30a12359d81b
Donde quiera que voy,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,b5805c55-8001-4d43-a69a-4736a1215254
Muriendo de amor,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,2192cf95-eac6-4751-94b9-9863c949b527
De rodillas,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,6ecd18a7-b42f-4def-82d7-f47a1526aacd
Dime que vas a hacer,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,909aa535-5211-4cbd-ab45-c279ce1c379c
Confusión,Leonardo Paniagua,Album,Desde el fondo de mi alma,2002,b27bc005-5750-4000-a53d-2160c3e23df3
Guitarra,Yoskar Sarante,Album,....No es casualidad,2002,74f516eb-42b6-4cb2-b1da-1fd1d35aa745
Perdido,Yoskar Sarante,Album,....No es casualidad,2002,79b08ba7-1112-46f0-a508-8a6bf3fb251d
Perdóname,Yoskar Sarante,Album,....No es casualidad,2002,f468c8b5-3015-4de5-bc91-ee8ff5c424ed
No Tengo Suerte en el Amor,Yoskar Sarante,Album,....No es casualidad,2002,bc46aad1-e864-4de5-b5ce-c61482244093
Por una Mentira,Yoskar Sarante,Album,....No es casualidad,2002,8128b7c4-13c6-45f8-b027-f484e409cc1b
El Amor es Libre,Yoskar Sarante,Album,....No es casualidad,2002,75ab910b-c0ef-4540-9bd3-cd3152bf6d1f
He Tenido que Llorar,Yoskar Sarante,Album,....No es casualidad,2002,49465797-081d-4323-885d-32ff9976cf87
Prohíbeme,Yoskar Sarante,Album,....No es casualidad,2002,d197c65b-8900-4be0-b5e5-3a7cf4d455db
Guerra de Amor,Yoskar Sarante,Album,....No es casualidad,2002,9441ec45-05d1-48e2-ae7a-ef4cc1a48f14
Tres Veces,Yoskar Sarante,Album,....No es casualidad,2002,fd962e12-c3ed-48b6-8336-fc8b72a6b846
Con las Alas Rotas,Yoskar Sarante,Album,....No es casualidad,2002,e215e3f8-4d97-4ccc-baa3-8d4b242dfcff
Perdidos,Monchy & Alexandra,Album,Hasta el fin,2004,d000493f-5eee-4669-953f-80348f4a413b
No me pidas,Monchy & Alexandra,Album,Hasta el fin,2004,500574ea-a300-4a36-82a5-1e3df4ec62f0
Hasta el fin,Monchy & Alexandra,Album,Hasta el fin,2004,fa11e207-f69a-4d93-b87d-2eef933a23e8
Esperando estar juntos,Monchy & Alexandra,Album,Hasta el fin,2004,4e65497c-3200-4831-95f4-7ade84313c29
No te prometo que sí,Monchy & Alexandra,Album,Hasta el fin,2004,a9256258-3bec-4de3-8754-b9eb555bf62b
Quisiera olvidarte,Monchy & Alexandra,Album,Hasta el fin,2004,0ef73b46-0681-43de-9362-0c46884b4a1f
Dividido en dos,Monchy & Alexandra,Album,Hasta el fin,2004,ac967918-459d-4d8f-bf5d-47d9c56b6398
Fantasías,Monchy & Alexandra,Album,Hasta el fin,2004,9020e731-be8b-4ec3-982d-a5dae905789a
Hazme tu esposa,Monchy & Alexandra,Album,Hasta el fin,2004,2ba88eeb-97f6-4f41-81e9-9e61abdc3186
Tú sin mí y yo sin ti,Monchy & Alexandra,Album,Hasta el fin,2004,4c9bad99-522a-4a2e-90d2-1f28231a738c
Arrancarte de mi piel (Me olvidaste),Monchy & Alexandra,Album,Hasta el fin,2004,91bd4666-319a-4c3b-9c10-549f58af736c
Los recuerdos no abrazan,Monchy & Alexandra,Album,Hasta el fin,2004,894975b2-0a68-4020-9c1d-408a1ca6d0fd
"Baby, olvídame",Monchy & Alexandra,Album,Hasta el fin,2004,f508640e-2f8d-47f0-800c-f08d150e86f5
Perdidos (versión balada),Monchy & Alexandra,Album,Hasta el fin,2004,57c7894b-b196-4675-9d44-fb22391b9ada
Cuando volverás,Aventura,Album,Unplugged,2004,a1784457-4406-4f59-aa82-880934f8481c
No lo perdona Dios,Aventura,Album,Unplugged,2004,4392a656-6e60-475d-9d96-5e83b07fe35c
9:15,Aventura,Album,Unplugged,2004,5aa61fba-71d7-4f6f-b58a-f94fba9c51e6
Amor de madre,Aventura,Album,Unplugged,2004,58aa1810-1041-4ba7-b215-c9e48f7acad0
Enséñame a olvidar,Aventura,Album,Unplugged,2004,4514dd89-472a-4289-bb9f-627baea3ae28
Un poeta enamorado,Aventura,Album,Unplugged,2004,12ce7d21-7cc7-49af-8bc4-22580c33cc23
Mi Puerto Rico,Aventura,Album,Unplugged,2004,a8e3b31b-52e8-41e8-ae47-112ad963c10e
Obsesión,Aventura,Album,Unplugged,2004,95d3081f-4a45-44e2-9e48-fbc7bbd2a637
Lágrimas,Aventura,Album,Unplugged,2004,a535acf9-3392-4c12-b548-a243dd818d92
Que ironía (versión bachata),Andy Andy,Album,Ironía,2005,3ea50788-290e-4f95-a2b4-d650ca2bd9a7
A quién le importa (versión bachata),Andy Andy,Album,Ironía,2005,a5a182fe-0311-41bc-b987-60df256d3190
Mala suerte en el amor,Andy Andy,Album,Ironía,2005,882b7a68-40b1-4ef7-88ed-560a53057313
Para no verte más,Andy Andy,Album,Ironía,2005,c1580f3d-4648-47f4-b302-82bbaafb7da8
Voy a quererla,Andy Andy,Album,Ironía,2005,4016dfc2-6e41-4057-a02f-53cea0b4b17a
Llegó tu hora,Andy Andy,Album,Ironía,2005,44e5d6c1-85fa-4875-a17a-cad15d71b167
Me extrañarás,Andy Andy,Album,Ironía,2005,b0015a1e-c7df-4cf4-a854-46f3a5428bab
Te quiero tanto,Andy Andy,Album,Ironía,2005,a2b0d4f6-3daa-46e4-b385-b8e7b31d488b
Sentado en el muelle de la bahía,Andy Andy,Album,Ironía,2005,5f6ab42b-b29d-4dc4-996a-aaaa27d83d4a
Así es el amor,Andy Andy,Album,Ironía,2005,234bf804-62af-4b33-96b0-fba985ac60a0
Mentía,Andy Andy,Album,Ironía,2005,484829c2-2f62-4149-9fb6-8033d290024c
Que ironía (versión balada),Andy Andy,Album,Ironía,2005,630a3c62-809a-4ad0-bd52-782fe47691c0
A quién le importa (versión balada),Andy Andy,Album,Ironía,2005,9a06d064-6163-4eb7-811e-fab79e5a2fb4
Que ironía (versión reggaeton),Andy Andy,Album,Ironía,2005,fc9882d6-cf84-41cb-9063-b4d92d897916
A quién le importa (cumbia norteña),Andy Andy,Album,Ironía,2005,1837080e-ba05-448a-afd3-ee4ef09eedc4
A quién le importa (versión reggaeton),Andy Andy,Album,Ironía,2005,72bd42fb-b640-4b03-b5c3-1ea1d057858d
Se me acabó el amor,Yoskar Sarante,Album,Parada 37,2005,ae02c18d-652b-4523-a95f-34b58c80f086
Entre tu amor y mi dolor,Yoskar Sarante,Album,Parada 37,2005,380d14a8-1490-4801-ad99-2e3834556e36
Vale la pena,Yoskar Sarante,Album,Parada 37,2005,77c20c52-3f3c-45c4-a995-8954dfcef343
Mi barca,Yoskar Sarante,Album,Parada 37,2005,26b05219-ffae-4547-aa0c-b3abf7bf8d3e
Me rompió la cama,Yoskar Sarante,Album,Parada 37,2005,dd93b9b3-c133-4578-a43e-6ba547df2fe1
Chocolate hay en su pecho,Yoskar Sarante,Album,Parada 37,2005,5aa6433e-0b88-4073-93b2-4d9b2e2b48e5
Me quedó tu mancha,Yoskar Sarante,Album,Parada 37,2005,d1865211-059c-4e86-a494-64e4683cbb93
Mi años con ella,Yoskar Sarante,Album,Parada 37,2005,1b9a77b5-7097-41bc-8f74-4fe01a29cc7c
Parada,Yoskar Sarante,Album,Parada 37,2005,6f88bc34-43aa-4c11-b319-534beeb6fbe3
Porque muero,Yoskar Sarante,Album,Parada 37,2005,f5eb1cc1-d5ef-4ded-929d-e5dc16954f78
Estoy herido,Yoskar Sarante,Album,Parada 37,2005,100b8af2-f123-4d19-bb6b-179d940b73de
Dime a dónde vas,Yoskar Sarante,Album,Parada 37,2005,756da136-917a-43f5-9124-1f2a717ade15
"Se fue de mí (Aunque respiro, no vivo)",Frank Reyes,Album,Dosis de amor,2005,93bb76d7-3066-4ecb-9f3c-698aeb294a4e
