instrumento_nombre,instrumento,nota,nota_nombre,volumen,empieza,dura
Acoustic Bass,32,-1,Silencio,0.0,55.2631625,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,55.2631625,0.31578950000000106
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,41,F2,106.0,55.578952,0.47368424999999803
Acoustic Bass,32,-1,Silencio,0.0,56.05263625,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.05263625,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.05263625,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.05263625,0.15789475000000408
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,36,C2,104.0,56.210531,0.47368424999999803
Acoustic Bass,32,-1,Silencio,0.0,56.68421525,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.68421525,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.68421525,0.15789475000000408
Acoustic Bass,32,-1,Silencio,0.0,56.68421525,0.15789475000000408
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,39,D#2,84.0,56.842110000000005,0.31578949999999395
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,-1,Silencio,0.0,57.1578995,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
Acoustic Bass,32,34,A#1,99.0,57.473689,0.31578950000000106
