cancion,artista,fecha-lanzamiento,generos
El Sorbito,Qechuaboi,2016-09-30,"electronic, dance, latin, cumbia, footwork"
Si Si Si,Abelardo Carbono,2020-04-04,"salsa, latin, afrobeat, cumbia, champeta"
Yo bailo sola,Acid Coco,2020-07-17,"pop, latin, reggaeton, cumbia, champeta"
La Mentalista,La Dame Blanche,2020-08-07,"hip hop, reggae, cumbia, trap"
El rock de la langosta / Margarita,Various Artists,1980,"rock, garage rock, latin, cumbia"
Fue una lágrima / Cae la lluvia,Elia y Elisabeth,2020-12-21,"funk, soul, salsa, afrobeat, cumbia"
Sola Solita,La Fragua Band,2019-12-21,"fusion, latin rock, latin, cumbia"
El Ciclón,La Fragua Band,2020-04-08,"fusion, latin rock, latin, cumbia"
Las Americas V.1,Ghislain Poirier,2010,"electronic, house, latin, cumbia, garage house"
Todo esta muy Normal,Desorden Público,2015-02-09,"rock, punk, ska, reggae, rocksteady, cumbia"
Doombia,Quantic,2018-06-01,"electronic, jazz, reggae, funk, soul, cumbia"
Con Tiempo,Hammond Classics,2016-12-28,"hip hop, reggae, funk, latin, cumbia"
Duvidó,Quantic,2014-02-28,"electronic, jazz, reggae, funk, soul, cumbia"
Puro Show / Puro Rock,El Combo Chimbita,2014-04-07,"dance, ska, reggae, latin, cumbia, descarga"
Repeating Night / Weather,The Mauskovic Dance Band,2017-04-01,"electronic, no wave, latin, afrobeat, cumbia"
Shuffle Them Shoes,Quantic,2016-11-25,"electronic, jazz, reggae, funk, soul, cumbia"
Bicicleta,Marcos Valle,2022-01-21,"funk, soul, disco, salsa, afrobeat, cumbia"
La camisa negra,Juanes,2004,"rock, electronic, pop, pop rock, latin, cumbia"
Yarana / Marula,The Phantom Four,2020-02-28,"rock, instrumental, disco, psychedelic rock, afrobeat, cumbia"
The Link Is About to Die,Los Bitchos,2019-10-11,"rock, pop, experimental, indie pop, latin, cumbia"
Con Sabor,Sidi Wacho,2015-09-07,"punk, electro, hip hop, indie, club, cumbia"
Theme From Selva,Quantic,2020-10-30,"electronic, jazz, reggae, funk, soul, disco, cumbia"
A Patricia,Par Avion,2018-02-01,"rock, pop, instrumental rock, surf rock, cumbia"
Salvemos nuestro folclor / Carnavalito infernal y cosas chéveres,Los Pirañas,2013-09-22,"noise, experimental rock, noise rock, latin, cumbia, champeta"
El Sabanero,Happy Sound,2020-11-27,"latin pop, porro, electro cumbia, latamtronica, electro porro"
State of Mind,Qechuaboi,2017-07-15,"electronic, dance, electronica, latin, cumbia, footwork, juke, future bass"
September Blues,Quantic,2019-07-09,"electronic, jazz, house, orchestral, reggae, funk, soul, disco, cumbia"
Oriza,Bio Ritmo,2015-12-01,"electronic, pop, reggae, funk, dub, salsa, acid jazz, latin, cumbia"
