titulo,tipo,artista,fecha-lanzamiento,generos
Bersa Discos # 3,EP,Various Artists,2008,"latin, cumbia"
The Roots of Chicha 2: Psychedelic Cumbias from Peru,Album,Various Artists,2010-10-12,cumbia peruana
"30 pegaditas de oro, vol. 2",Album,La Sonora Dinamita,1999,"latin, cumbia"
Chispeante!,Album,La Sonora Dinamita,1993,"latin, cumbia"
Ondatrópica,Album,Ondatrópica,2012-07-16,"latin, cumbia"
Vuela,Album,Ráfaga,2004,"latin, cumbia"
Oro puro,Album,Los Acosta,1992-05-04,"latin, cumbia"
Historia musical 30 pegaditas,Album,Los Ángeles Azules,2001-08-07,"latin, cumbia"
Entrega de amor,Album,Los Ángeles Azules,1994,"latin, cumbia"
"Súper éxitos!, vol. 2",Album,La Sonora Dinamita,1996-11-12,"latin, cumbia"
Cumbia villera,Album,Yerba Brava,2000,cumbia villera
Cumbia cumbia 2: La epoca dorada de cumbias colombianas,Album,Various Artists,1993,"latin, cumbia"
Cumbia nena,Album,Amar Azul,1997,"latin, cumbia"
Sus éxitos con La Sonora Dinamita,Album,La India Meliyará,2009-05-19,"latin, cumbia"
Lo mejor de Mike Laure,Album,Mike Laure,1987,"latin, cumbia"
"Cumbias solamente cumbias, vol. II",Album,Various Artists,,"latin, cumbia"
Latin Only,Album,Various Artists,1997,"latin, cumbia"
La cumbia nació en Barú,Album,Sonora Dinamita,1982,"latin, cumbia"
Frente Cumbiero Meets Mad Professor,Album,Frente Cumbiero,2011,"latin, cumbia"
Ritmo y sustancia,Album,Mala Fama,2000,"latin, cumbia"
Matamoros querido,Album,Costa Azul,1972,"latin, cumbia"
El más buscado,Album,Organización X,2002,"latin, cumbia"
El regreso de los reyes,Album,Cruz Martínez,2007-08-14,"latin, cumbia"
Música y corazón,Album,Milena,2000,"latin, cumbia"
Ayo,Album,Bomba Estéreo,2017-08-11,"latin, cumbia"
It's Nonstop Cumbia 1,Album,Various Artists,1995,"latin, cumbia"
Colombia 45,Album,Various Artists,2011-02-28,"latin, cumbia"
Fiesta regional selvática,Album,Various Artists,,"latin, cumbia"
¡Cumbiando…!,Album,Los Xochimilcas,1967,"latin, cumbia"
