cancion,artista,tipo,lanzamiento,fecha-lanzamiento
Adios Sin Rosas,Granizo Rojo,Album,Seis Para Triunfar,1993
Eterno Amor,Granizo Rojo,Album,Seis Para Triunfar,1993
Solo Tengo Tu Mirar,Granizo Rojo,Album,Seis Para Triunfar,1993
Contigo,Granizo Rojo,Album,Seis Para Triunfar,1993
"Mirame, Sienteme",Granizo Rojo,Album,Seis Para Triunfar,1993
Aprendiz De Seductor,Granizo Rojo,Album,Seis Para Triunfar,1993
Pibe cantina *,Yerba Brava,Album,Cumbia villera,2000
La canción del yuta,Yerba Brava,Album,Cumbia villera,2000
La cumbia de los trapos,Yerba Brava,Album,Cumbia villera,2000
El vendido,Yerba Brava,Album,Cumbia villera,2000
Vago atorrante,Yerba Brava,Album,Cumbia villera,2000
Cumbia villera *,Yerba Brava,Album,Cumbia villera,2000
Discriminado,Yerba Brava,Album,Cumbia villera,2000
El mantenido *,Yerba Brava,Album,Cumbia villera,2000
Danza gallina,Yerba Brava,Album,Cumbia villera,2000
La vuelta del guachín,Yerba Brava,Album,Cumbia villera,2000
Arruinado,Yerba Brava,Album,Cumbia villera,2000
Míralo,Yerba Brava,Album,Cumbia villera,2000
De que te la das *,Yerba Brava,Album,100% villero,2001
Los de negro *,Yerba Brava,Album,100% villero,2001
Hijo de yuta,Yerba Brava,Album,100% villero,2001
Chicos del anden,Yerba Brava,Album,100% villero,2001
Saltando,Yerba Brava,Album,100% villero,2001
Sonido villero,Yerba Brava,Album,100% villero,2001
Sos mi pasión,Yerba Brava,Album,100% villero,2001
Aguanten,Yerba Brava,Album,100% villero,2001
El fuerte,Yerba Brava,Album,100% villero,2001
A la celda,Yerba Brava,Album,100% villero,2001
María Rosa,Yerba Brava,Album,100% villero,2001
La navidad del pibe,Yerba Brava,Album,100% villero,2001
Buscando A La Gata,Los Diferentes,Album,Esperado,2003
La Probadita,Los Diferentes,Album,Esperado,2003
Todo Mi Cariño,Los Diferentes,Album,Esperado,2003
Mi Chica Dificil,Los Diferentes,Album,Esperado,2003
Eres Una Pesadilla,Los Diferentes,Album,Esperado,2003
"Oh, Linda Mia",Los Diferentes,Album,Esperado,2003
Aunque Te Enamores,Los Diferentes,Album,Esperado,2003
