titulo,tipo,artista,fecha-lanzamiento,generos,id
Chicano Zen,Album,Charanga Cakewalk,2006,"rock, latin, cumbia, tejano",353aeb03-f594-4302-b74e-4b6222c8285b
Comes Alive,Album,Grupo Fantasma,2006,"rock, salsa, latin, cumbia",fd9725fd-950d-4655-b1e1-71e4eee09660
A Todo Swing,Album,Various Artists,2006,"salsa, cumbia, swing criollo",f0693d33-b4be-4b09-9f78-d7fc4071f09a
Panamericana,Album,Las Rubias del Norte,2006,"latin, cumbia, chachachá",f367b580-41b9-4b4f-b021-423f2321b9dc
Kumbia Nena!,Album,Kumbia Queers,2007,"punk, punk rock, cumbia",061f4ce7-8c1a-4b0e-81ec-642f87731513
Luz Interpretations,Album,Luz Mob,2007,"electronic, downtempo, reggae, dub, latin, cumbia",98a7c121-75d9-49dc-9722-f57c77e8606b
Solo para entendidos,Album,Damas Gratis,2007,"latin, cumbia villera",65123661-cd0c-4353-920c-748dc4d991bf
"Perdonalos, no saben lo que hacen",Album,Los Pibes Chorros,2007,"latin, cumbia villera",4561be75-5330-438a-945f-2d5c6bcdd8e4
20 Grandes Exitos,Album,Ricky Maravilla,2007,"latin, cumbia",06cf30e9-69a7-43e9-a805-87787423d850
Recuerdos Inolvidables Vol.2,Album,Chacalón y la Nueva Crema,2007,"latin, cumbia",3f7427a1-6334-447a-8e92-b05ccde26dc5
Destino,Album,Joe Vasconcellos,2007,"latin, cumbia",70533247-b434-4080-bd5d-5bca31217c41
Solo,Album,Mario Luis,2007,cumbia,c432808e-0b3f-4036-a3eb-c9ce0dc2427c
La Vida,Album,Tres Muchachos & Compañeros,2007,"salsa, latin, cumbia",a056de4e-a529-4479-9672-793004da6e6d
Luaka Bop: The Sound of Sound,Album,Various Artists,2007,"mpb, funk, soul, latin, cumbia",525b6d07-d995-4f83-bc9b-d255557e1765
Los originales del año,Album,Various Artists,2007,"salsa, latin, merengue, cumbia, bachata",ba33cc68-7413-489d-b8b5-d53cc25863a8
Follow Me,Album,Yerba Buena,2007,"electronic, hip hop, latin, cumbia",03ef4658-4699-4099-81ac-cbf6b7379bd2
The Roots of Chicha: Psychedelic Cumbias From Peru,Album,Various Artists,2007,"psychedelic rock, peru, cumbia peruana",326c739d-16ec-42df-802f-cae3d7552f8f
El regreso de los reyes,Album,Cruz Martínez,2007,"latin, cumbia",083ce3cf-48ee-4328-9d5d-e262eeac0d61
Vámonos Pa'l Río,Album,Los Pikadientes de Caborca,2008,"latin, cumbia",a3da4806-0b62-4dbf-a4ca-9b7c68ea4624
Sonidos Gold,Album,Grupo Fantasma,2008,"funk, salsa, latin, cumbia",b54bc71d-d303-44b2-b50e-9d0cce80a8ce
Cumbia,Album,Bareto,2008,"peru, cumbia, bareto",42ccdc29-4ff6-49a1-a613-6dcea3c98dc6
Baúl musical no. 4: Bailables de todos los tiempos,Album,Various Artists,2008,"tropical, cumbia, bailable",ff725175-b5e0-48c3-b987-56af0f995eb6
Plato único bailable,Album,Chico Trujillo,2008,"rock, latin, cumbia",fa9c837e-1846-4c39-af37-42399bb46e2c
La reina de la anarcumbia,Album,Amandititita,2008,"latin, cumbia, norteño",0755c0ce-3581-4c23-981a-0c6675a12f6d
La manita de Fauna,Album,Fauna,2008,"electronic, latin, cumbia",b45b9573-a597-4cb7-bb7e-c39ee2a3f9d9
Guacharaca Migration,Album,Uproot Andy,2008,"electronic, latin, cumbia",91801555-6338-44af-a2c1-92a85203219a
Bersa Discos # 3,EP,Various Artists,2008,"latin, cumbia",fd2ce143-db53-4c81-a01a-1b553e6b4376
Bersa discos,EP,El Hijo de la Cumbia,2008,"electronic, latin, cumbia",7f6c08ae-feee-4ac3-857f-856f78e584fa
Alegrando el Alma,Album,Ecuador Manta,2008,"latin, cumbia, música criolla",36f3bd1e-8e72-43bf-8d0f-2e23b3c8a926
Lo esencial de las estrellas de La hora azul,Album,Various Artists,2008,"latin, cumbia, bolero, danzón",481b1250-04af-45ac-92da-b6b0d3663191
Picotero,Album,Monareta,2008,"electronic, bossa nova, leftfield, latin, cumbia",cabd7249-af8a-4a26-8f33-964b95801cb4
La gota que rebasó el vaso,Album,Damas Gratis,2008,"latin, cumbia villera",c64c304f-1f0d-4358-886c-3ba4308ac3dc
El fogotón,Album,Espíritu Docente,2008,"rock, folk, ska, reggae, comedy, comedy rock, latin rock, latin, cumbia, cumbia argentina",af8f6060-9681-4b4f-a222-e93e13fb9d39
¡Sonido Amazonico!,Album,Chicha Libre,2008,cumbia,bf8c4653-fd11-47a9-ab80-86d6b7a56631
Época dorada,Album,Los Ángeles Azules,2008,"latin, cumbia",ee991839-c840-442d-8591-b29cf29ad3ec
La manita de fauna,Album,Faauna,2008,"cumbia, moombahton",f8b7f446-05e9-4ed8-99ea-193e88bb3943
Mondomix Experience,Album,Various Artists,2008,"jazz, mpb, samba, latin, cumbia",4c0299f6-424c-4a11-961a-e05effca8eab
Bersa Discos # 2,EP,Various Artists,2008,"electronic, reggae, latin, cumbia",7121c548-4785-4005-9452-d4b91b875e6f
El próximo tonto,Album,Banda Machos,2008,"latin, cumbia, bolero, ranchera, corrido",96389f45-b3ad-4650-80a4-530ac28e99f8
La hija del loco,Album,Sara Hebe,2009,"punk, pop punk, cumbia",fe0bcc13-b6ae-462d-b677-11539eff7a26
"¡Gózalo! Bugalú tropical, volume 3",Album,Various Artists,2009,"salsa, latin, cumbia, pachanga, descarga",eb9ac919-3f51-4346-b245-ca3589d209a3
Terapia intensiva,Album,Villa Cariño,2009,"latin, cumbia",6e651543-7e00-4afd-b1a5-eff2989cc7ad
Bersa Discos #6,EP,Sabo,2009,"hip hop, reggae, latin, dancehall, cumbia",125e9228-9383-46b2-9bed-fd8de103c3a5
Sus éxitos con La Sonora Dinamita,Album,La India Meliyará,2009,"latin, cumbia",dec9bb1e-4716-48fb-aeaf-45c0336a04b6
Systema Solar,Album,Systema Solar,2009,"electronic, electro, breakbeat, latin, cumbia",d1a39055-f8db-4f95-bc64-0ecc0fb2f298
Bersa Discos #5,EP,Various Artists,2009,"electronic, hip hop, latin, cumbia",46d4d35e-3b70-45ad-8832-473061c606da
Angela,Album,Ángela Leiva,2009,"latin, cumbia",48a88296-6557-4aba-8a8e-075b878fe275
Nueva Cumbia Argentina: The Buenos Aires Implosion,EP,Sonido Martines,2009,"electronic, latin, dancehall, cumbia",01c563c2-ffa7-4f2c-9fa1-d43c026e35e3
Soy sauce,Album,Mexican Institute of Sound,2009,"electronic, hip hop, latin, cumbia",b1473f1e-a69f-4a0e-8094-5c4d22f3c598
Los mejores bailables de todos los tiempos 5,Album,Amar Azul,2009,"latin, cumbia",e8941485-da53-4236-bd70-c0bddf0266fe
Buzzrock Warrior,Album,Jahdan Blakkamoore,2009,"electronic, dubstep, reggae, latin, dancehall, cumbia",899c3587-ee92-4eb3-a79f-1422d94ad684
A orillas del Magdalena: Coastal Cumbias From Colombia's Discos Fuentes,Album,Various Artists,2009,"latin, cumbia",62c4b44e-fa8a-48f3-bb2f-f0cd22d44aaf
Freestyle de ritmos,Album,El Hijo de la Cumbia,2009,"electronic, latin, dancehall, cumbia, digital cumbia",7e45347b-91c7-4aa2-a55c-be2ced4fb851
Material de difusión,Album,Los Pibes Chorros,2009,"latin, cumbia villera",
Damas Gratis: Remix 2008,Album,Damas Gratis,2009,"latin, cumbia villera",d3c8315b-6ae5-4925-a1d3-a81a90369cf6
Nueva generación,Album,Los 50 de Joselito,2009,"latin, cumbia, vallenato",bed94730-abec-4bc3-991e-34a892aa8acc
Trocitos de madera,Single,La Yegros,2009,"electronic, dubstep, house, latin, cumbia",d33c26f0-bf9e-4a08-97f4-6e1f3fd6ddaa
Sin salsa no hay paraíso,Album,El Gran Combo de Puerto Rico,2010,"salsa, latin, cumbia",07ab0486-ab1b-4ec9-a606-4ade43c91296
The Roots of Chicha 2: Psychedelic Cumbias from Peru,Album,Various Artists,2010,cumbia peruana,075418d3-cea1-4aa3-b730-302656238405
Independencia Sessions,Album,Sonido San Francisco,2010,"rock, electronica, cumbia",afb65c20-3e87-4a47-8246-ccf5683463b4
Vamos Bien,Album,M.A.K.U. Soundsystem,2010,"punk, psychedelic, afrobeat, cumbia",de6391a2-444e-4fb1-92f9-ba7cd4d0b24e
Rebelión Tropical - The Very Best Of,Album,Fruko,2010,"salsa, cumbia",27d2b669-8932-4348-9643-f561f404c731
