titulo,tipo,artista,fecha-lanzamiento,generos,id
A dos tiempos de un tiempo,Album,Gilberto Santa Rosa,1992,salsa,627cce95-5cb0-46be-ab1c-e209e750c9fa
Nace aquí,Album,Gilberto Santa Rosa,1993,salsa,567b22b9-4259-462d-a51d-51d43e1ebb5f
The Best of Ray Barretto / Lo mejor de Ray Barretto,Album,Ray Barretto,1995,salsa,31cb0ebd-0366-4133-8c14-5151437b258b
En vivo desde el Carnegie Hall,Album,Gilberto Santa Rosa,1995,salsa,4f762be2-c02a-4664-8c66-3c2f7babce95
Live in Puerto Rico,Album,Fania All-Stars,1995,salsa,573753db-417a-4a13-9c9a-745390119dfd
Beleza rara,Album,Banda Eva,1996,salsa-merengue,290f9940-1490-4391-b9f0-27ceaaeb6ae7
Dominando la salsa,Album,Grupo Galé,1996,salsa,81dbf21b-091e-4086-8fc5-3677ecde48b4
No lo voy a olvidar,Album,Brenda K. Starr,1998,salsa,efcc10ec-a2be-4914-8ac6-eeeafdc568d2
La misma pluma,Album,Adolescent’s Orquesta,1998,salsa,64f588b0-83c7-4a92-b3a6-c1d725cec8ee
"Rumba, Baby Rumba!",Album,Bio Ritmo,1998,salsa,db158c63-c237-4de0-94c5-3558c08d0fec
Gotcha!,Album,DLG,1999,salsa,cd1fc829-961c-4a11-87c4-91dccfa1b13a
Grandes éxitos de la salsa: Greatest Hits,Album,The Latin Brothers,1999,salsa,f93702bc-4cc7-4d4f-9229-65fea034dad9
Salsa dura,Album,Jimmy Bosch,1999,salsa,f103e3c4-4aaf-45db-8897-d5766ccb78b0
Todos bailan salsa,Album,Fruko y sus Tesos,1999,salsa,1154d197-ea26-47fb-8ae5-1b5dcbf94cd8
Salsa,Album,Various Artists,2000,salsa,676f12d7-7ecd-4b69-93be-ad1b4eb6a77d
Power Salsa,Album,Fruko y sus Tesos,2000,salsa,516bb8fa-cfc7-440d-b2cf-e707ae56d0b5
Veinte años: La danza de la chancaca,Album,Grupo Niche,2001,salsa,48f24053-04e3-4aff-ae0d-a76843bf4ce0
Intenso,Album,Gilberto Santa Rosa,2001,salsa,2a107f05-010d-4f3e-9446-02e3e94254a9
